Result with TF-IDF
Extracted Keywords:
fuel, oil, said, contract, diesel, defense, austerity


*Frequency table*
              Word  Local_Frequency  Universal_Frequency
69              12         0.045218                 4708
70         january         0.045218                 2630
71          tender         0.045218                 1051
72           scale         0.045218                  465
73         houston         0.045218                  438
74         adopted         0.045218                  216
75          repair         0.045218                  184
76           ocean         0.045218                  152
77          grades         0.045218                  141
78         floated         0.045218                   34
79        domestic         0.043813                 1467
80        superior         0.043813                  247
81          deputy         0.043813                  199
82      earthquake         0.043813                   95
83      production         0.043437                 3208
84      increasing         0.043437                  476
85              15         0.043094                 5415
86          member         0.043094                  937
87            gets         0.043094                  932
88        possibly         0.043094                  614
89       completed         0.043094                  605
90         limited         0.042779                  938
91        november         0.042779                  550
92         raising         0.042779                  271
93            june         0.042215                 1524
94           month         0.041961                 2760
95        recently         0.041961                 1205
96         pacific         0.041961                  597
97              30         0.041722                 4577
98           offer         0.041722                 2866
99       effective         0.041722                 1066
100      available         0.041497                 3230
101      statement         0.041497                 1974
102          march         0.041284                 3200
103          speed         0.041284                 1414
104         fields         0.041284                  481
105          ships         0.041284                  430
106          coast         0.041284                  377
107     government         0.040889                 6137
108          lines         0.040363                20054
109        program         0.040363                 4098
110         raised         0.040202                  814
111        earlier         0.040048                 2090
112          force         0.039617                 1384
113           main         0.039229                 1209
114         killed         0.039229                 1012
115       expected         0.039108                 2828
116            000         0.038876                14877
117           east         0.038765                 1354
118         strong         0.038450                 1513
119     department         0.038350                 3405
120            cut         0.038350                 2277
121          miles         0.037393                  820
122          today         0.037024                 3845
123          point         0.036623                 4085
124        country         0.035719                 2144
125           near         0.035669                 1309
126           open         0.034701                 2140
127           high         0.033798                 3761
128           told         0.033499                 3637
129           work         0.033090                 5007
130            day         0.032603                 4167
131         people         0.031911                10643


Extracted Keywords:
kero, in, that, as, are, at, will


*Frequency table*
              Word  Local_Frequency  Universal_Frequency
0              the               15               412698
1              and               15               162905
2             said               11                41346
3               to               10               203902
4              oil                9                 5937
5               of                8               202353
6               it                8                78515
7              for                8                75928
8               on                8                53491
9              cts                8                 8574
10            fuel                8                  512
11              is                7                91528
12             mln                6                23788
13        contract                6                  795
14              by                5                33872
15             dlr                5                 1585
16       petroleum                5                  685
17             jet                5                  285
18         ecuador                5                  248
19         defense                4                  975
20              52                4                  912
21          diesel                4                  110
22              be                3                46303
23             was                3                40954
24             pct                3                14408
25             two                3                10135
26              lt                3                 9196
27             inc                3                 6383
28            corp                3                 4331
29          energy                3                 1295
30         barrels                3                  682
31        measures                3                  604
32          texaco                3                  150
33         awarded                3                  148
34       austerity                3                   29
35          caltex                3                   20
36              an                2                26484
37           would                2                24315
38             one                2                22066
39           which                2                18854
40             had                2                17222
41            dlrs                2                14772
42              up                2                14322
43            been                2                13154
44           after                2                 7902
45         company                2                 6446
46              50                2                 4173
47          prices                2                 3773
48           sales                2                 3422
49   international                2                 2635
50         foreign                2                 2595
51            sale                2                 2487
52             six                2                 2132
53             gas                2                 1997
54        products                2                 1946
55        minister                2                 1252
56       announced                2                 1174
57            1988                2                 1121
58        ministry                2                 1051
59          agency                2                  891
60           heavy                2                  810
61           shell                2                  633
62              84                2                  570
63          barrel                2                  564
64              tx                2                  449
65        postings                2                  397
66          medium                2                  373
67      television                2                  354
68           mines                2                  282
69        bringing                2                  250
70       singapore                2                  249
71             104                2                  243
72      bangladesh                2                   87
73          gallon                2                   84
74        kerosene                2                   66
75           quake                2                   40
76       logistics                2                   15
77            kero                2                    2
78              in                1               146303
79            that                1                86765
80              as                1                40257
81             are                1                39495
82              at                1                34543
83            will                1                25060
84             has                1                21284
85           lines                1                20054
86           about                1                19432
87              no                1                16987
88             its                1                15115
89             000                1                14877
90            more                1                14850
91            than                1                12511
92            also                1                11982
93          people                1                10643
94           could                1                 9680
95         posting                1                 9158
96             now                1                 8179
97      government                1                 6137
98           being                1                 5516
99              15                1                 5415
100        between                1                 5132
101           work                1                 5007
102             12                1                 4708
103           take                1                 4670
104             30                1                 4577
105          three                1                 4565
106           both                1                 4558
107            per                1                 4256
108            day                1                 4167
109        program                1                 4098
110             14                1                 4088
111          point                1                 4085
112          today                1                 3845
113           part                1                 3773
114           high                1                 3761
115             co                1                 3642
116           told                1                 3637
117     department                1                 3405
118      available                1                 3230
119     production                1                 3208
120          march                1                 3200
121         during                1                 3166
122             19                1                 2999
123          least                1                 2967
124             31                1                 2965
125          offer                1                 2866
126       expected                1                 2828
127          month                1                 2760
128        exports                1                 2724
129        january                1                 2630
130        several                1                 2472
131          until                1                 2363
132            cut                1                 2277
133        imports                1                 2150
134        country                1                 2144
135           open                1                 2140
136        earlier                1                 2090
137      statement                1                 1974
138             75                1                 1607
139           june                1                 1524
140         strong                1                 1513
141             90                1                 1497
142       domestic                1                 1467
143          speed                1                 1414
144          force                1                 1384
145           east                1                 1354
146             55                1                 1331
147           near                1                 1309
148           main                1                 1209
149       recently                1                 1205
150        product                1                 1179
151             51                1                 1124
152      effective                1                 1066
153         posted                1                 1063
154             43                1                 1053
155         tender                1                 1051
156          crude                1                 1049
157         killed                1                 1012
158            gmt                1                 1007
159          owned                1                  948
160        limited                1                  938
161         member                1                  937
162           gets                1                  932
163      marketing                1                  870
164          miles                1                  820
165         raised                1                  814
166             57                1                  730
167           opec                1                  632
168       possibly                1                  614
169      completed                1                  605
170        pacific                1                  597
171       november                1                  550
172          joint                1                  538
173         fields                1                  481
174     increasing                1                  476
175          scale                1                  465
176        houston                1                  438
177          ships                1                  430
178          multi                1                  422
179          coast                1                  377
180       shipment                1                  372
181         raises                1                  360
182        venture                1                  355
183       thursday                1                  320
184             km                1                  314
185     registered                1                  303
186            ban                1                  279
187       pipeline                1                  273
188        raising                1                  271
189       superior                1                  247
190        adopted                1                  216
191         deputy                1                  199
192         repair                1                  184
193     suspension                1                  169
194          ocean                1                  152
195         santos                1                  152
196            260                1                  144
197         grades                1                  141
198        tenders                1                  114
199         banned                1                  112
200        chevron                1                  110
201       refining                1                  109
202       aviation                1                  109
203     communique                1                  109
204          basin                1                  106
205     earthquake                1                   95
206         petrol                1                   69
207        linking                1                   65
208        pumping                1                   59
209    procurement                1                   51
210         routes                1                   49
211      declaring                1                   43
212       holidays                1                   38
213       weekends                1                   34
214        floated                1                   34
215        naphtha                1                   32
216        majeure                1                   32
217     indefinite                1                   30
218       conserve                1                   29
219       fernando                1                   26
220         sulfur                1                   24
221        centred                1                   24
222         adopts                1                   23
223         alvite                1                   22
224           0600                1                   20
225         javier                1                   20
226            chv                1                   19
227      paralyzed                1                   17
228        volcano                1                   17
229    interviewer                1                   17
230       espinosa                1                   15
231         amazon                1                   13
232       weekdays                1                   10
233      airliners                1                   10
234          quito                1                    8
235       mercalli                1                    7
236     reventador                1                    4
237         cetane                1                    4
